City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hobart,AU,-42.8794,147.3294,60.66,64,75,9.22,broken clouds
79,Malindi,KE,-3.2175,40.1191,75.52,86,72,15.88,light rain
80,Tilichiki,RU,60.4667,166.1,37.42,93,100,9.1,light rain
81,Thinadhoo,MV,0.5333,72.9333,81.52,75,97,15.01,overcast clouds
82,Lethem,GY,3.3803,-59.7968,80.22,71,61,5.86,broken clouds
83,Airai,TL,-8.9266,125.4092,72.68,39,51,1.83,broken clouds
84,Kampot,KH,10.6167,104.1833,77.05,93,100,5.08,overcast clouds
85,New Norfolk,AU,-42.7826,147.0587,60.3,71,26,1.99,scattered clouds
86,Christiana,ZA,-27.914,25.1611,68.45,32,21,13.67,few clouds
87,Beira,MZ,-19.8436,34.8389,71.8,91,1,8.43,clear sky
88,Pevek,RU,69.7008,170.3133,31.66,65,7,0.74,clear sky
89,Kitimat,CA,54.0524,-128.6534,61.18,25,100,2.86,overcast clouds
90,Zabol,AF,32.25,67.25,60.57,13,0,3.15,clear sky
91,Victoria,HK,22.2855,114.1577,86.25,75,22,5.99,few clouds
92,Saldanha,ZA,-33.0117,17.9442,55.45,88,100,5.14,overcast clouds
93,Mikhaylovka,RU,50.06,43.2379,48.7,79,48,13.78,scattered clouds
94,Salalah,OM,17.0151,54.0924,80.69,94,75,8.05,broken clouds
95,Narsaq,GL,60.9167,-46.05,48.42,99,94,2.08,moderate rain
96,Fukue,JP,32.6881,128.8419,77.36,78,75,5.75,broken clouds
97,Porto Novo,BJ,6.4965,2.6036,78.62,92,100,5.3,moderate rain
98,Anadyr,RU,64.75,177.4833,36.1,64,0,11.18,clear sky
99,Bukama,CD,-9.2,25.85,73.26,53,34,3.02,scattered clouds
100,Tainan,TW,22.9908,120.2133,85.78,83,75,0.0,broken clouds
101,Upernavik,GL,72.7868,-56.1549,32.11,67,97,5.55,overcast clouds
102,Taoudenni,ML,22.6783,-3.9836,97.18,15,100,11.65,overcast clouds
103,Padang,ID,-0.9492,100.3543,75.25,84,100,2.26,overcast clouds
104,Tungi,BD,23.89,90.4058,82.4,78,75,0.0,haze
105,Bauchi,NG,10.5,10.0,74.8,78,88,3.29,overcast clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,69.03,81,32,18.1,scattered clouds
107,Luderitz,NA,-26.6481,15.1594,54.23,81,49,6.35,scattered clouds
108,Nsanje,MW,-16.92,35.262,77.95,64,50,3.91,scattered clouds
109,Petawawa,CA,45.9001,-77.3328,50.38,89,100,1.79,light rain
110,Mahenge,TZ,-8.6833,36.7167,60.62,88,17,3.22,few clouds
111,Port Elizabeth,ZA,-33.918,25.5701,61.32,84,40,9.22,scattered clouds
112,Karratha,AU,-20.7377,116.8463,78.71,25,0,23.04,clear sky
113,Hami,CN,42.8,93.45,67.89,18,3,8.37,clear sky
114,Bredasdorp,ZA,-34.5322,20.0403,53.82,96,100,2.75,overcast clouds
115,Monte Alto,BR,-21.2611,-48.4964,78.76,34,69,4.88,broken clouds
116,Luau,AO,-10.7073,22.2247,70.7,42,86,4.43,overcast clouds
117,Ostrovnoy,RU,68.0531,39.5131,39.99,80,98,9.73,overcast clouds
