City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Flin Flon,CA,50.23,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
213,Saint-Pierre,RE,65.88,few clouds,-21.3393,55.4781,Alize Plage
222,Florianopolis,BR,56.43,moderate rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
227,Roald,NO,54.52,light rain,62.5833,6.1333,Flem Cabins
230,Adeje,ES,68.92,overcast clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
232,Inverell,AU,67.66,broken clouds,-29.7833,151.1167,Sapphire City Motor Inn
233,Abha,SA,62.85,clear sky,18.2164,42.5053,Abha Hotel
237,Bronte,IT,63.09,overcast clouds,37.7895,14.8342,Alle Cordate dell'Etna
246,Zatoka,UA,65.46,overcast clouds,46.0725,30.4654,Sonyachna
251,Asau,RO,51.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
252,Guangyuan,CN,63.93,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
253,Vanderbijlpark,ZA,64.15,clear sky,-26.7117,27.838,Little Eden Guest Lodge
261,Jumla,NP,54.88,overcast clouds,29.2747,82.1838,Royal Garden Hotel
266,Zhangjiakou,CN,63.09,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
267,Lasa,IT,50.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
271,Roma,US,58.95,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
272,Malanje,AO,66.92,broken clouds,-9.5402,16.341,Hotel Ginga
275,Esperance,AU,59.86,broken clouds,-33.8667,121.9,Hospitality Esperance
276,Trelew,AR,54.23,broken clouds,-43.249,-65.3051,Hotel Touring Club
277,Zhucheng,CN,65.8,clear sky,35.9947,119.3975,Fanrong Hotel
278,Codrington,AU,51.39,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
281,Miyako,JP,69.57,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
284,Fort-Shevchenko,KZ,66.94,clear sky,44.5086,50.263,Oasis hotel Bautino
288,Thohoyandou,ZA,68.99,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
294,Lavumisa,SZ,68.36,clear sky,-27.31,31.892,ROADSIDE B&B
295,Neuquen,AR,53.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
298,San Luis,AR,53.53,broken clouds,-33.295,-66.3356,Huarpes Hotel
302,Sturgeon Bay,US,54.0,moderate rain,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
308,Saint Anthony,US,63.66,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
309,Rio Gallegos,AR,50.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
315,Rabo De Peixe,PT,66.27,few clouds,37.8,-25.5833,Quinta das Giestas
317,Seoul,KR,63.97,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
318,Burgeo,CA,53.4,few clouds,47.6167,-57.6152,Gillett's Motel
320,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
321,Liuhe,CN,57.97,clear sky,42.2401,125.7172,Grain Hostel
323,Fairbanks,US,55.09,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
335,Upington,ZA,64.78,clear sky,-28.4478,21.2561,River Place Manor
338,Lubango,AO,64.04,light rain,-14.9172,13.4925,Hotel Serra da Chela
339,Ahipara,NZ,64.56,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
344,Flores Da Cunha,BR,55.6,overcast clouds,-29.0289,-51.1817,Hotel Fiório - Flores da Cunha
345,Plouzane,FR,53.65,overcast clouds,48.3833,-4.6167,Lymina
356,Ashland,US,58.1,broken clouds,40.8167,-82.2665,SureStay
358,Melville,US,67.86,clear sky,40.7934,-73.4151,Marriott Melville Long Island
360,Viedma,AR,51.01,broken clouds,-40.8135,-62.9967,Hotel Cristal
361,Shahreza,IR,66.31,clear sky,32.0339,51.8794,خوابگاه
362,College,US,55.08,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
369,Horqueta,PY,63.77,overcast clouds,-23.3428,-57.0597,Hospedaje Heina
373,Waipawa,NZ,55.96,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
380,Shakawe,BW,68.92,few clouds,-18.3667,21.85,Ditlhapi Guest House
382,Thomastown,IE,59.72,overcast clouds,52.5267,-7.1372,"Mount Juliet Estate, Autograph Collection"
